dump_row_id,offerid,offer_name,brand_name,dump_product,dump_variant,dump_segment,dump_packsize,candidate_rank,master_itemcode,master_itemname,master_item_spec,master_category,match_score,token_set_score,wratio_score,size_status,top1_margin,label,label_source
12813,30849690,Al Kabeer Zing Chicken Strips 320 Gm,Al Kabeer,Chicken Strips-Frozen,Spicy,Zing,320 gm,2,CKZSCKNP,Zing Strips Non Spicy + Free Chicken Nuggets Combo Pack,(750 g.+750 g.) x 4,STRIPS,66.65,83.08,85.5,conflict,,0,auto_high_confidence
12813,30849690,Al Kabeer Zing Chicken Strips 320 Gm,Al Kabeer,Chicken Strips-Frozen,Spicy,Zing,320 gm,3,CKZSDA,ZING CHICKEN STRIPS SPICY 750 GRM,750 GMS X 8 PKT,STRIPS,62.38,83.08,78.92,conflict,,0,auto_high_confidence
12813,30849690,Al Kabeer Zing Chicken Strips 320 Gm,Al Kabeer,Chicken Strips-Frozen,Spicy,Zing,320 gm,4,CKZSNS,ZING CHICKEN STRIPS NON-SPICY,8 X 750 GMS,STRIPS,62.38,83.08,78.92,conflict,,0,auto_high_confidence
12813,30849690,Al Kabeer Zing Chicken Strips 320 Gm,Al Kabeer,Chicken Strips-Frozen,Spicy,Zing,320 gm,5,CZFNSCFHP,Zing Chicken Fillets Non Spicy + Free Chicken Fillets Spicy,750+750 g. x 4,FILLETS,61.71,68.97,85.5,conflict,,0,auto_high_confidence
12820,30875549,Al Kabeer chicken burger breaded Regular 400 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,1,CKBBS,8 BREADED CHICKEN BURGER HOT & SPICY,400 gm x 12 Pkts,BURGERS,100.0,91.14,86.58,exact,40.76,1,auto_high_confidence
12820,30875549,Al Kabeer chicken burger breaded Regular 400 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,2,CBBO,4 BEEF BURGERS,200 Gms x 30 Pkt,BURGERS,59.24,61.9,85.5,conflict,,0,auto_high_confidence
12820,30875549,Al Kabeer chicken burger breaded Regular 400 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,3,CBBO24,24 BEEF BURGERS,1.2 Kgs x 8 Pkts,BURGERS,58.16,58.82,85.5,conflict,,0,auto_high_confidence
12820,30875549,Al Kabeer chicken burger breaded Regular 400 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,4,CFBF,BREADED FISH FILLET,330 Gms x 20 Pkts,FILLETS,57.41,56.67,85.5,conflict,,0,auto_high_confidence
12820,30875549,Al Kabeer chicken burger breaded Regular 400 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,5,CCSK,KIRI CHEESE SAMOSA,20 X 240 GMS,SAMOSA,55.48,51.16,85.5,conflict,,0,auto_high_confidence
12859,30932119,Al Kabeer BBreaded Fish Fillet Frozen (330 gm),Al Kabeer,Breaded Fish Fillet,No Variant,Breaded Seafood,330 gm,1,CFBF,BREADED FISH FILLET,330 Gms x 20 Pkts,FILLETS,93.24,73.33,85.5,exact,18.0,1,auto_high_confidence
12859,30932119,Al Kabeer BBreaded Fish Fillet Frozen (330 gm),Al Kabeer,Breaded Fish Fillet,No Variant,Breaded Seafood,330 gm,2,CKBS,8 BEEF SEEKH KEBAB,320 Gms x 24 Pkts,KEBAB,75.24,41.9,85.5,close,,0,auto_high_confidence
12859,30932119,Al Kabeer BBreaded Fish Fillet Frozen (330 gm),Al Kabeer,Breaded Fish Fillet,No Variant,Breaded Seafood,330 gm,3,CFBFA,BREADED FISH FILLET BULK,1 Kgs x 5 Pkts,FILLETS,61.5,68.35,85.5,conflict,,0,auto_high_confidence
12859,30932119,Al Kabeer BBreaded Fish Fillet Frozen (330 gm),Al Kabeer,Breaded Fish Fillet,No Variant,Breaded Seafood,330 gm,4,CBBO,4 BEEF BURGERS,200 Gms x 30 Pkt,BURGERS,52.13,41.58,85.5,conflict,,0,auto_high_confidence
12859,30932119,Al Kabeer BBreaded Fish Fillet Frozen (330 gm),Al Kabeer,Breaded Fish Fillet,No Variant,Breaded Seafood,330 gm,5,CFB,BEEF FRANKS,454 Gms x 20 Pkts,SAUSAGES,51.31,39.25,85.5,conflict,,0,auto_high_confidence
12862,30933432,ALKABEER CHICKEN / BEEF KIBBEH 400 gm,Al Kabeer,Beef Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,1,CBK,BEEF KIBBEH 400,400 Gms x 12 Pkts,KOFTA-KIBBEH-FELAFEL,92.08,70.0,85.5,exact,20.88,1,auto_high_confidence
12862,30933432,ALKABEER CHICKEN / BEEF KIBBEH 400 gm,Al Kabeer,Beef Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,2,BC40,BEEF CUBES,2 lb x 20 Pkts,MEAT-INDIAN-TRD,71.19,44.63,85.5,,,0,auto_high_confidence
12862,30933432,ALKABEER CHICKEN / BEEF KIBBEH 400 gm,Al Kabeer,Beef Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,3,BVL3,VEAL LEGS 3.6,Asstd. Wt.,MEAT-INDIAN-TRD,68.77,37.7,85.5,,,0,auto_high_confidence
12862,30933432,ALKABEER CHICKEN / BEEF KIBBEH 400 gm,Al Kabeer,Beef Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,4,CBBOT,TAYEBAT BEEF BURGERS ONION BULK,1 Kgs x 9 Pkts,BURGERS,55.08,50.0,85.5,conflict,,0,auto_high_confidence
